nr,plaus,image,question_type,naming_question,confidence_question,trial_list_num
27,plaus,27_plaus_lady_applauds_the_athlete.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
34,plaus,34_plaus_dog_leading_blind_person.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
16,plaus,16_plaus_professor_lectures_to_a_student.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
31,plaus,31_plaus_visitor_pushes_nurse.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
26,plaus,26_plaus_peasant_bows_to_queen.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
11,plaus,11_plaus_lion_chases_guide.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
14,plaus,14_plaus_priest_blesses_bride.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
25,plaus,25_plaus_santa_gives_present_to_girl.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
03,plaus,03_plaus_doctor_uses_stethoscope_on_patient.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
19,plaus,19_plaus_man_gives_to_beggar.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
23,plaus,23_plaus_judge_sentences_criminal.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
07,plaus,07_plaus_mother_feeding_baby.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
35,plaus,35_plaus_bouncer_rejects_girl.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
06,plaus,06_plaus_ghost_frightens_girl.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
36,plaus,36_plaus_dog_licking_child.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
24,plaus,24_plaus_father_pulls_child.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
21,plaus,21_plaus_ballerina_dances_for_grandpa.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
10,plaus,10_plaus_jester_entertains_king.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
30,plaus,30_plaus_cat_chases_mouse.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
13,plaus,13_plaus_pirate_kidnaping_princess.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
09,implaus,09_implaus_bride_carries_groom.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
41,implaus,41_implaus_rabbit_chases_fox.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
20,implaus,20_implaus_lady_cooks_for_chef.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
38,implaus,38_implaus_princess_measuring_tailor.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
22,implaus,22_implaus_sports_star_interviews_journalist.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
01,implaus,01_implaus_criminal_arrests_cop.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
08,implaus,08_implaus_business_man_painting_artist.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
18,implaus,18_implaus_customer_serving_waiter.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
40,implaus,40_implaus_lady_opens_door_for_chauffeur.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
39,implaus,39_implaus_grandma_saves_lifeguard.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
28,implaus,28_implaus_child_laces_shoes_of_father.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
32,implaus,32_implaus_patient_visits_relative.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
29,implaus,29_implaus_grandma_steals_from_thief.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
04,implaus,04_implaus_grandmother_rescuse_fireman.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
05,implaus,05_implaus_patient_treating_dentist.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
17,implaus,17_implaus_woman_bites_vampir.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
12,implaus,12_implaus_model_photographes_photographer.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
15,implaus,15_implaus_snorkler_bites_shark.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
33,implaus,33_implaus_worker_orders_boss.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
02,implaus,02_implaus_child_scolding_babysitter.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
37,implaus,37_implaus_woman_proposing_to_man.png,,Please describe what is happening in this image.,How well does this description fit this image?,1
