nr,plaus,image,question_type,naming_question,confidence_question,trial_list_num
27,implaus,27_implaus_athlete_applauds_the_lady.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
34,implaus,34_implaus_blind_person_leading_dog.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
16,implaus,16_implaus_student_lectures_to_a_professor.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
31,implaus,31_implaus_patient_pushes_visitor.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
26,implaus,26_implaus_queen_bows_to_peasant.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
11,implaus,11_implaus_guide_chases_lion.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
14,implaus,14_implaus_bride_blesses_priest.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
25,implaus,25_implaus_girl_gives_present_to_santa.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
03,implaus,03_implaus_patient_uses_stethoscope_on_doctor.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
19,implaus,19_implaus_beggar_gives_to_man.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
23,implaus,23_implaus_criminal_sentences_judge.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
07,implaus,07_implaus_baby_feeding_mother.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
35,implaus,35_implaus_girl_rejects_bouncer.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
06,implaus,06_implaus_girl_frightens_ghost.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
36,implaus,36_implaus_child_licking_dog.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
24,implaus,24_implaus_child_pulls_father.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
21,implaus,21_implaus_grandpa_dances_for_ballerina.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
10,implaus,10_implaus_king_entertain_jester.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
30,implaus,30_implaus_mouse_chases_cat.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
13,implaus,13_implaus_princess_kidnaping_pirate.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
09,plaus,09_plaus_groom_carries_bride.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
41,plaus,41_plaus_fox_chases_rabbit.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
20,plaus,20_plaus_chef_cooks_for_lady.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
38,plaus,38_plaus_tailor_measuring_princess.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
22,plaus,22_plaus_journalist_interviews_sports_star.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
01,plaus,01_plaus_cop_arrests_criminal.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
08,plaus,08_plaus_artist_painting_business_man.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
18,plaus,18_plaus_waiter_serving_customer.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
40,plaus,40_plaus_chauffeur_opens_door_for_lady.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
39,plaus,39_plaus_lifeguard_saves_grandma.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
28,plaus,28_plaus_father_laces_shoes_of_child.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
32,plaus,32_plaus_relative_visits_patient.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
29,plaus,29_plaus_thief_steals_from_grandma.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
04,plaus,04_plaus_fireman_rescuse_grandmother.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
05,plaus,05_plaus_dentist_treating_patient.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
17,plaus,17_plaus_vampir_bites_woman.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
12,plaus,12_plaus_photographer_photographes_model.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
15,plaus,15_plaus_shark_bites_snorkeler.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
33,plaus,33_plaus_boss_orders_worker.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
02,plaus,02_plaus_babysitter_scolding_child.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
37,plaus,37_plaus_man_proposing_to_woman.png,,Please describe what is happening in this image.,How well does this description fit this image?,2
