nr,plaus,image,question_type,naming_question,confidence_question,trial_list_num
04,plaus,04_plaus_fireman_rescuse_grandmother.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
24,plaus,24_plaus_father_pulls_child.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
40,plaus,40_plaus_chauffeur_opens_door_for_lady.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
11,plaus,11_plaus_lion_chases_guide.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
32,plaus,32_plaus_relative_visits_patient.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
15,plaus,15_plaus_shark_bites_snorkeler.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
05,plaus,05_plaus_dentist_treating_patient.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
03,plaus,03_plaus_doctor_uses_stethoscope_on_patient.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
37,plaus,37_plaus_man_proposing_to_woman.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
28,plaus,28_plaus_father_laces_shoes_of_child.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
39,plaus,39_plaus_lifeguard_saves_grandma.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
27,plaus,27_plaus_lady_applauds_the_athlete.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
20,plaus,20_plaus_chef_cooks_for_lady.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
18,plaus,18_plaus_waiter_serving_customer.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
31,plaus,31_plaus_visitor_pushes_nurse.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
25,plaus,25_plaus_santa_gives_present_to_girl.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
02,plaus,02_plaus_babysitter_scolding_child.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
21,plaus,21_plaus_ballerina_dances_for_grandpa.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
36,plaus,36_plaus_dog_licking_child.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
41,plaus,41_plaus_fox_chases_rabbit.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
17,implaus,17_implaus_woman_bites_vampir.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
35,implaus,35_implaus_girl_rejects_bouncer.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
38,implaus,38_implaus_princess_measuring_tailor.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
08,implaus,08_implaus_business_man_painting_artist.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
06,implaus,06_implaus_girl_frightens_ghost.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
07,implaus,07_implaus_baby_feeding_mother.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
19,implaus,19_implaus_beggar_gives_to_man.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
10,implaus,10_implaus_king_entertain_jester.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
14,implaus,14_implaus_bride_blesses_priest.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
13,implaus,13_implaus_princess_kidnaping_pirate.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
34,implaus,34_implaus_blind_person_leading_dog.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
26,implaus,26_implaus_queen_bows_to_peasant.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
22,implaus,22_implaus_sports_star_interviews_journalist.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
16,implaus,16_implaus_student_lectures_to_a_professor.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
01,implaus,01_implaus_criminal_arrests_cop.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
23,implaus,23_implaus_criminal_sentences_judge.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
09,implaus,09_implaus_bride_carries_groom.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
12,implaus,12_implaus_model_photographes_photographer.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
30,implaus,30_implaus_mouse_chases_cat.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
33,implaus,33_implaus_worker_orders_boss.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
29,implaus,29_implaus_grandma_steals_from_thief.png,,Please describe what is happening in this image.,How well does this description fit this image?,3
