workerid_director,condition,language,implicit_term,order,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,clue,question_type
artisticStork8_1635828541,chinese_term,chinese,风景,3_1,花园,海洋,高山,雨,波浪,萝卜,发夹,木工,飞船,江河,
artisticStork8_1635828541,chinese_term,chinese,生物,3_1,细菌,微生物,兔子,沙子,闪电,火炉,飞机,勺子,手镯,实验,
artisticStork8_1635828541,chinese_term,chinese,水域,3_1,小溪,大海,湖泊,毛毛雨,果汁,森林,起司,桌子,耳环,无边无际,
artisticStork8_1635828541,english_term,chinese,beverages,3_1,啤酒,牛奶,苏打,油,酱油,自行车,云,种子,雪,长个,
artisticStork8_1635828541,chinese_term,chinese,生物,3_1,玫瑰,青蛙,病毒,闪电,云朵,唱歌,项链,筷子,外套,带刺,
artisticStork8_1635828541,english_term,chinese,skills,3_1,会计,领导力,唱歌,睡眠,哭,花生,咖啡,太阳,积木,算数,
artisticStork8_1635828541,english_term,chinese,crimes,3_1,谋杀,抢劫,擅自闯入,说谎,迟到,船,枕头,爆米花,蛾子,违法,
artisticStork8_1635828541,english_term,chinese,crafts,3_1,陶瓷,绘画,木工,摄影,芭蕾舞,自行车,花卉,云,冰雹,大树,
artisticStork8_1635828541,english_term,chinese,vehicles,3_1,公共汽车,推土机,自行车,乐高,足球,萝卜,雕塑,钢笔,水,投币,
artisticStork8_1635828541,chinese_term,chinese,化妆品,3_1,口红,乳液,腮红,洗发水,卫生棉条,萝卜,树,椅子,古城,胭脂虫,
artisticStork8_1635828541,chinese_term,chinese,地形,3_1,湿地,平地,丘陵,海洋,日落,萝卜,突击,纸拼贴,松鼠,地理,
artisticStork8_1635828541,chinese_term,chinese,电器,3_1,电脑,空调,台灯,椅子,枕头,鸡,树,果汁,花园,凉快,
artisticStork8_1635828541,english_term,chinese,vehicles,3_1,摩托车,卡车,船,芭比,填充玩具动物,爆米花,绘画,纸,红酒,两轮,
artisticStork8_1635828541,chinese_term,chinese,电器,3_1,手机,微波炉,电视,沙发,床,盐,乌云,红酒,草,四四方方,
artisticStork8_1635828541,chinese_term,chinese,化妆品,3_1,眼线,眼霜,润肤霜,洗面奶,泡泡浴,酸奶,草,湖,森林,脂肪粒,
artisticStork8_1635828541,english_term,chinese,crafts,3_1,纸拼贴画,画画,雕塑,剧院,歌剧,推土机,树,天空,冻雨,大卫,
artisticStork8_1635828541,english_term,chinese,crimes,3_1,突击,强奸,超速,虚张声势,随地吐痰,公共汽车,床,萝卜,猴,犯法,
artisticStork8_1635828541,chinese_term,chinese,地形,3_1,沼泽,丘陵,盆地,瀑布,沙子,火炉,陶瓷,外套,大猩猩,地理,
artisticStork8_1635828541,chinese_term,chinese,风景,3_1,草原,星空,湖,月亮,沙子,刀,勺子,纸拼贴,汽车,牛马,
artisticStork8_1635828541,english_term,chinese,precipitation,3_1,雪,薄雾,冰雹,乌云,河,杯子,蛾子,香蕉,电脑,气象,
artisticStork8_1635828541,english_term,chinese,snacks,3_1,花生,爆米花,萝卜,牛排,三文鱼,蛇,钢笔,沟通,细雨,兔子,
artisticStork8_1635828541,chinese_term,chinese,农产品,3_1,蔬菜,大豆,鸡蛋,鸡翅,糖果,猴,纸,陶瓷,雾,母鸡,
artisticStork8_1635828541,chinese_term,chinese,水域,3_1,运河,海洋,河流,冻雨,红酒,平原,番茄,树,火炉,纯净,
artisticStork8_1635828541,english_term,chinese,snacks,3_1,薯片,饼干,苹果片,意大利面,沙拉,熊,纸,团队合作,雾,油炸,
artisticStork8_1635828541,english_term,chinese,pests,3_1,蚂蚁,老鼠,浣熊,长颈鹿,鸭子,天空,椅子,勺子,海洋,嗑桌子,
artisticStork8_1635828541,english_term,chinese,beverages,3_1,红酒,咖啡,果汁,醋,芝麻油,推土机,天空,草,雨,提神醒脑,
artisticStork8_1635828541,chinese_term,chinese,农产品,3_1,棉花,大米,西红柿,酸奶,蛋糕,打字,玩具积木,车,乌云,白花花,
artisticStork8_1635828541,english_term,chinese,drugs,3_1,迷幻剂,酒精,大麻,小苏打,维生素,饼干,绘画,勺子,枕头,着火,
artisticStork8_1635828541,english_term,chinese,pests,3_1,跳蚤,老鼠,蚊子,蝴蝶,老鹰,云,桌子,刀,河,嗡嗡嗡,
artisticStork8_1635828541,chinese_term,chinese,服饰,3_1,皮包,外套,衬衫,眼线,洗发水,盐,车,汉堡包,柚子,长袖,
artisticStork8_1635828541,english_term,chinese,skills,3_1,驾驶,编程,写作,买菜,参加派对,苹果片,果汁,月亮,玩具娃娃,车,
artisticStork8_1635828541,english_term,chinese,drugs,3_1,海洛因,布洛芬,烟草,氨,磷,三明治,雕塑,刀,床,药物,
artisticStork8_1635828541,english_term,chinese,precipitation,3_1,雨,雾,冻雨,乌云,池塘,碗,猴,柚子,电视,气象,
artisticStork8_1635828541,chinese_term,chinese,服饰,3_1,戒指,帽子,短裤,口红,香皂,树,烤鸭,丘陵,三明治,三角,
artisticStork8_1635828541,english_term,chinese,appetizers,3_1,汤,沙拉,面包棒,牛扒,意大利辣香肠比萨,烹饪,玩具娃娃,缝纫,树皮,热乎乎,
artisticStork8_1635828541,chinese_term,chinese,家具,3_1,橱柜,地毯,书柜,毯子,窗户,番茄,海,土豆泥,花卉,厨房,
artisticStork8_1635828541,chinese_term,chinese,调味品,3_1,八角,味精,辣椒,杏仁,巧克力,火车,刀,玩具娃娃,钻石,调味品,
artisticStork8_1635828541,english_term,chinese,appetizers,3_1,炸薯条,洋葱圈,鸡翅,汉堡包,西兰花,电脑编程,积木,陶瓷,树叶,母鸡,
artisticStork8_1635828541,chinese_term,chinese,家具,3_1,垃圾桶,椅子,钟表,枕头,油画,盐,河,牛扒,天空,指针,
artisticStork8_1635828541,chinese_term,chinese,调味品,3_1,醋,胡椒,盐,小苏打,奶油,熊,钢笔,缝纫,细雨,调料,
NA,catch,chinese,colors,NA,紫色,黄色,红色的,绿色,橙色,黑色,蓝色,粉色,白色,只需选择“紫色”这个词,catch
NA,catch,chinese,planets,NA,木星,金星,火星,海王星,土星,水星,天王星,冥王星,地球,只需选择“木星”这个词,catch
NA,catch,chinese,sports,NA,棒球,排球,游泳,篮球,足球,高尔夫球,潜水,划船,体操,只需选择“棒球”这个词,catch
NA,catch,chinese,cities,NA,开罗,伦敦,伊斯坦布尔,北京,洛杉矶,纽约,悉尼,里约热内卢,东京,只需选择“开罗”这个词,catch
NA,catch,chinese,countries,NA,加拿大,中国,英国,阿根廷,德国,日本,埃塞俄比亚,澳大利亚,美国,只需选择“加拿大”这个词,catch
