left_words	slider_words	right_words	question_type	trial	max_duration	min	max	default	triad_mix
dog,dog,dog,dog	pony,cat,cow,seagull	horse,horse,horse,horse	practice	1	100	0	100	50	random
donut,donut,donut,donut	orange,pancake,coffee,potato	apple,apple,apple,apple	practice	2	100	0	100	50	random
same	same	different	catch	3	10	0	100	50	random
yes	yes	no	catch	4	10	0	100	50	random
left	left	right	catch	5	10	0	100	50	random
left	right	right	catch	6	10	0	100	50	random
necklace,necklace,necklace,necklace	belt,gloves,dress,coat	shirt,shirt,shirt,shirt	type1	7	10	0	100	50	random
zebra,zebra,zebra,zebra	snail,clam,buffalo,lion	mouse,mouse,mouse,mouse	type1	8	10	0	100	50	random
coat,coat,coat,coat	necklace,belt,dress,shirt	door,door,door,door	type3	9	10	0	100	50	random
protect,protect,protect,protect	find,make,allow,work	dolphin,dolphin,dolphin,dolphin	type3	10	10	0	100	50	random
