left_words	slider_words	right_words	question_type	trial	max_duration	min	max	default	triad_mix
dog,dog,dog,dog	pony,cat,cow,seagull	horse,horse,horse,horse	practice	1	100	0	100	50	random
donut,donut,donut,donut	orange,pancake,coffee,potato	apple,apple,apple,apple	practice	2	100	0	100	50	random
same	same	different	catch	3	10	0	100	50	random
yes	yes	no	catch	4	10	0	100	50	random
left	left	right	catch	5	10	0	100	50	random
left	right	right	catch	6	10	0	100	50	random
knife,knife,knife,knife	oven,fork,pot,dish	scissors,scissors,scissors,scissors	type1	7	10	0	100	50	random
squirrel,squirrel,squirrel,squirrel	lion,alligator,buffalo,zebra	clam,clam,clam,clam	type1	8	10	0	100	50	random
belt,belt,belt,belt	shirt,necklace,gloves,coat	squirrel,squirrel,squirrel,squirrel	type3	9	10	0	100	50	random
dish,dish,dish,dish	scissors,knife,oven,pot	squirrel,squirrel,squirrel,squirrel	type3	10	10	0	100	50	random
