left_words	slider_words	right_words	question_type	trial	max_duration	min	max	default	triad_mix
dog,dog,dog,dog	pony,cat,cow,seagull	horse,horse,horse,horse	practice	1	100	0	100	50	random
donut,donut,donut,donut	orange,pancake,coffee,potato	apple,apple,apple,apple	practice	2	100	0	100	50	random
same	same	different	catch	3	10	0	100	50	random
yes	yes	no	catch	4	10	0	100	50	random
left	left	right	catch	5	10	0	100	50	random
left	right	right	catch	6	10	0	100	50	random
train,train,train,train	airplane,bike,wagon,submarine	ship,ship,ship,ship	type1	7	10	0	100	50	random
chair,chair,chair,chair	door,cushion,desk,couch	cabinet,cabinet,cabinet,cabinet	type1	8	10	0	100	50	random
allow,allow,allow,allow	squirrel,snail,elephant,lion	clam,clam,clam,clam	type3	9	10	0	100	50	random
lion,lion,lion,lion	chair,cushion,desk,door	couch,couch,couch,couch	type3	10	10	0	100	50	random
