left_words	slider_words	right_words	question_type	trial	max_duration	min	max	default	triad_mix
dog,dog,dog,dog	pony,cat,cow,seagull	horse,horse,horse,horse	practice	1	100	0	100	50	random
donut,donut,donut,donut	orange,pancake,coffee,potato	apple,apple,apple,apple	practice	2	100	0	100	50	random
same	same	different	catch	3	10	0	100	50	random
yes	yes	no	catch	4	10	0	100	50	random
left	left	right	catch	5	10	0	100	50	random
left	right	right	catch	6	10	0	100	50	random
desk,desk,desk,desk	cushion,door,couch,chair	cabinet,cabinet,cabinet,cabinet	type1	7	10	0	100	50	random
make,make,make,make	allow,find,use,work	exist,exist,exist,exist	type1	8	10	0	100	50	random
work,work,work,work	exist,make,protect,find	train,train,train,train	type3	9	10	0	100	50	random
bike,bike,bike,bike	ship,airplane,submarine,wagon	squirrel,squirrel,squirrel,squirrel	type3	10	10	0	100	50	random
