order,condition,language,implicit_term,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,question_type
2_2,english_term,english,appetizers,meatballs,shrimp,soup,mashed potatoes,banana,teamwork,barbie,carpentry,grass,
2_2,english_term,english,appetizers,cheese and crackers,salad,chicken wings,roasted duck,apple,communication,legos,knitting,seeds,
2_2,english_term,english,beverages,wine,coffee,juice,vinegar,sesame oil,bulldozer,sky,grass,rain,
2_2,english_term,english,beverages,beer,milk,soda,oil,soy sauce,bicycle,clouds,seeds,snow,
2_2,english_term,english,crafts,carpentry,knitting,painting,ballet,poetry,boat,grass,moon,rain,
2_2,english_term,english,crafts,sculpture,sewing,ceramics,music,literature,bus,seeds,sun,snow,
2_2,english_term,english,crimes,theft,arson,harassment,cursing,lying,bulldozer,chair,chips,bear,
2_2,english_term,english,crimes,murder,abuse,embezzlement,infidelity,farting,bicycle,desk,cookies,snake,
2_2,english_term,english,drugs,aspirin,cocaine,marijuana,potassium,sodium,banana,carpentry,cup,lamp,
2_2,english_term,english,drugs,heroin,caffeine,methamphetamine,vitamins,ammonia,grapefruit,knitting,bowl,table,
2_2,english_term,english,pests,cockroaches,rats,raccoons,dolphins,honeybees,star,lamp,chopsticks,sparkling water,
2_2,english_term,english,pests,termites,mice,fleas,hummingbirds,zebras,planet,table,stove,lake,
2_2,english_term,english,precipitation,rain,snow,sleet,clouds,sparkling water,chopsticks,walrus,chocolate bar,pencil,
2_2,english_term,english,precipitation,hail,fog,drizzle,clouds,lake,stove,deer,rice,notepad,
2_2,english_term,english,skills,driving,computer coding,writing,grocery shopping,going to a party,apple slices,juice,moon,doll,
2_2,english_term,english,skills,accounting,leadership,singing,sleeping,crying,peanuts,coffee,sun,blocks,
2_2,english_term,english,snacks,chips,cookies,apple slices,spaghetti,salad,bear,paper,teamwork,fog,
2_2,english_term,english,snacks,peanuts,popcorn,carrots,steak,salmon,snake,pen,communication,drizzle,
2_2,english_term,english,vehicles,motorcycle,truck,boat,barbie,stuffed animal,popcorn,painting,paper,wine,
2_2,english_term,english,vehicles,bus,bulldozer,bicycle,legos,soccer ball,carrots,sculpture,pen,water,
2_2,chinese_term,english,农产品,wheat,milk,beef,cookies,ice cream,snake,pencil,knitting,rain,
2_2,chinese_term,english,农产品,corn,vegetables,livestock,sandwich,pizza,deer,computer,sculpture,sleet,
2_2,chinese_term,english,化妆品,eyeshadow,toner,lip balm,soap,bath salts,clouds,desert,kidnapping,pillow,
2_2,chinese_term,english,化妆品,mascara,vaseline,lotion,conditioner,tweezer,mountains,sunset,murder,clock,
2_2,chinese_term,english,地形,lake,basin,highland,waterfall,starry sky,cheese,bowl,theft,hat,
2_2,chinese_term,english,地形,river,plateau,mountains,garden,sunrise,yogurt,rabbit,rape,bicycle,
2_2,chinese_term,english,家具,trash can,chair,clock,pillow,painting,salt,river,steak,sky,
2_2,chinese_term,english,家具,cabinet,carpet,bookcase,blanket,window,tomatoes,sea,mashed potatoes,flowers,
2_2,chinese_term,english,服饰,purse,coat,shirt,eyeliner,shampoo,salt,car,hamburger,grapefruit,
2_2,chinese_term,english,服饰,ring,hat,shorts,lipstick,soap,tree,roasted duck,hills,sandwich,
2_2,chinese_term,english,水域,canal,ocean,river,sleet,wine,plain,tomatoes,tree,stove,
2_2,chinese_term,english,水域,creek,sea,lake,drizzle,juice,forest,cheese,desk,earrings,
2_2,chinese_term,english,生物,animal,insect,virus,mineral,river,baseball,boat,chair,earrings,
2_2,chinese_term,english,生物,plant,fungus,human,stone,mountain,computer programming,motorcycle,barrette,microphone,
2_2,chinese_term,english,电器,refrigerator,electric fan,phone,blanket,couch,tomatoes,ocean,beer,mountain,
2_2,chinese_term,english,电器,washing machine,computer,lamp,table,sink,salt,waterfall,soda,rain,
2_2,chinese_term,english,调味品,pepper,sugar,soy sauce,flour,eggs,walrus,notepad,carpentry,snow,
2_2,chinese_term,english,调味品,salt,oyster sauce,cinnamon,chicken,cheese,boat,clouds,painting,chair,
2_2,chinese_term,english,风景,mountains,desert,starry sky,rock,tree,yogurt,stove,LSD,truck,
2_2,chinese_term,english,风景,lake,forest,ancient city,soil,land,cheese,chair,cocaine,boat,
