order,condition,language,implicit_term,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,question_type
2_3,english_term,chinese,appetizers,炸薯条,虾,面包棒,猪排,生菜,唱歌,填充玩具动物,绘画,树,
2_3,english_term,chinese,appetizers,洋葱圈,奶酪片,汤,白饭,菠萝,打字,棒球,雕塑,花卉,
2_3,english_term,chinese,beverages,红酒,咖啡,果汁,醋,芝麻油,推土机,天空,草,雨,
2_3,english_term,chinese,beverages,啤酒,牛奶,苏打,油,酱油,自行车,云,种子,雪,
2_3,english_term,chinese,crafts,木工,针织,绘画,芭蕾舞,诗歌,船,草,月亮,雨,
2_3,english_term,chinese,crafts,雕塑,缝纫,陶瓷,音乐,文学,公共汽车,种子,太阳,雪,
2_3,english_term,chinese,crimes,强奸,突击,擅自闯入,随地吐痰,刻薄,摩托车,灯,苹果片,海象,
2_3,english_term,chinese,crimes,绑架,纵火,超速,放屁,诅咒,卡车,桌子,花生,鹿,
2_3,english_term,chinese,drugs,阿司匹林,可卡因,大麻,钾,钠,香蕉,木工,杯子,灯,
2_3,english_term,chinese,drugs,海洛因,咖啡因,兴奋剂,维生素,氨,柚子,针织,碗,桌子,
2_3,english_term,chinese,pests,鸽子,蟑螂,蚊子,大象,蜻蜓,月亮,枕头,杯子,河,
2_3,english_term,chinese,pests,老鼠,蚂蚁,苍蝇,企鹅,海龟,太阳,床,碗,池塘,
2_3,english_term,chinese,precipitation,雨,雪,冻雨,乌云,气泡水,筷子,海象,巧克力棒,铅笔,
2_3,english_term,chinese,precipitation,冰雹,雾,细雨,乌云,湖,火炉,鹿,白饭,记事本,
2_3,english_term,chinese,skills,批判性思考,团队合作,写作,打嗝,笑,爆米花,啤酒,天空,芭比,
2_3,english_term,chinese,skills,驾驶,沟通,计算机编码,坐着,睡眠,萝卜,茶,乌云,乐高,
2_3,english_term,chinese,snacks,薯片,饼干,苹果片,意大利面,沙拉,熊,纸,团队合作,雾,
2_3,english_term,chinese,snacks,花生,爆米花,萝卜,牛排,三文鱼,蛇,钢笔,沟通,细雨,
2_3,english_term,chinese,vehicles,飞机,船,拖拉机,填充玩具动物,玩具娃娃,薯片,缝纫,铅笔,果汁,
2_3,english_term,chinese,vehicles,车,飞船,卡车,棒球,芭比,饼干,陶瓷,记事本,咖啡,
2_3,chinese_term,chinese,农产品,小麦,牛奶,牛肉,饼干,冰淇淋,蛇,铅笔,针织,雨,
2_3,chinese_term,chinese,农产品,玉米,蔬菜,牲畜,三明治,比萨饼,鹿,电脑,雕塑,雨夹雪,
2_3,chinese_term,chinese,化妆品,唇釉,面膜,眼线,沐浴露,梳子,火炉,星空,麦克风,桌子,
2_3,chinese_term,chinese,化妆品,遮瑕,唇膏,眼霜,剃须膏,发夹,湿地,香蕉,土壤,海洋,
2_3,chinese_term,chinese,地形,湖泊,盆地,高原,瀑布,星空,芝士,碗,盗窃,帽子,
2_3,chinese_term,chinese,地形,河流,高原,山地,花园,日出,酸奶,兔子,强奸,自行车,
2_3,chinese_term,chinese,家具,锅,床,顶灯,电脑,书,芝士,雪,猪排,行星,
2_3,chinese_term,chinese,家具,钟表,地毯,书桌,打印机,门,树,瀑布,平原,白饭,
2_3,chinese_term,chinese,服饰,皮包,外套,衬衫,眼线,洗发水,盐,车,汉堡包,柚子,
2_3,chinese_term,chinese,服饰,戒指,帽子,短裤,口红,香皂,树,烤鸭,丘陵,三明治,
2_3,chinese_term,chinese,水域,运河,池塘,冰川,冰,牛奶,高原,鸡,饼干,麦克风,
2_3,chinese_term,chinese,水域,河流,湖泊,海洋,乌云,咖啡,山丘,星星,打印机,手镯,
2_3,chinese_term,chinese,生物,动物,昆虫,病毒,矿物质,河流,棒球,船,椅子,收入,
2_3,chinese_term,chinese,生物,植物,真菌,人类,石头,山,电脑编程,摩托车,发夹,麦克风,
2_3,chinese_term,chinese,电器,手机,灯,热水壶,被子,桌子,番茄,草,咖啡,波浪,
2_3,chinese_term,chinese,电器,加湿器,电视,电脑,马桶,抽屉,起司,云朵,茶,日出,
2_3,chinese_term,chinese,调味品,胡椒,糖,酱油,面粉,鸡蛋,海象,记事本,木工,雪,
2_3,chinese_term,chinese,调味品,盐,蚝油,桂皮,鸡,芝士,船,云朵,绘画,椅子,
2_3,chinese_term,chinese,风景,古遗址,沙滩,日落,竹子,草地,椅子,筷子,陶器,推土机,
2_3,chinese_term,chinese,风景,瀑布,森林,日出,熊猫,树皮,海洛因,杯子,谋杀,针织,
