order,condition,language,implicit_term,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,question_type
2_1,english_term,english,appetizers,soup,salad,breadsticks,steak,pepperoni pizza,cooking,doll,sewing,bark,
2_1,english_term,english,appetizers,french fries,onion rings,chicken wings,hamburger,broccoli,computer programming,blocks,ceramics,leaves,
2_1,english_term,english,beverages,milk,soda,wine,sesame oil,soy sauce,boat,moon,bark,fog,
2_1,english_term,english,beverages,water,tea,beer,gasoline,vegetable oil,bus,sun,leaves,drizzle,
2_1,english_term,english,crafts,pottery,drawing,sewing,ballroom dance,poetry,motorcycle,bark,star,fog,
2_1,english_term,english,crafts,knitting,sculpture,paper making,opera,theater,truck,leaves,planet,drizzle,
2_1,english_term,english,crimes,murder,robbery,trespassing,lying,being late,boat,pillow,popcorn,moth,
2_1,english_term,english,crimes,assault,rape,speeding,bluffing,spitting,bus,bed,carrots,monkey,
2_1,english_term,english,drugs,cocaine,methamphetamine,aspirin,sulfuric acid,baking soda,chocolate bar,sewing,chopsticks,chair,
2_1,english_term,english,drugs,marijuana,caffeine,alcohol,sodium,nitrogen,rice,ceramics,stove,desk,
2_1,english_term,english,pests,ants,rats,raccoons,giraffes,ducks,sky,chair,spoon,ocean,
2_1,english_term,english,pests,fleas,mice,mosquitos,butterflies,eagles,clouds,desk,knife,river,
2_1,english_term,english,precipitation,sleet,snow,fog,clouds,ocean,spoon,bear,biscuit,paper,
2_1,english_term,english,precipitation,rain,hail,drizzle,clouds,river,knife,snake,sandwich,pen,
2_1,english_term,english,skills,cooking,computer programming,teamwork,eating,walking,chips,wine,star,stuffed animal,
2_1,english_term,english,skills,communication,singing,typing,drinking,going to school,cookies,water,planet,baseball,
2_1,english_term,english,snacks,cookies,carrots,nuts,fried eggs,roast beef sandwich,moth,computer,cooking,sleet,
2_1,english_term,english,snacks,chips,apple,popcorn,pork chop,potatoes,monkey,television,computer programming,hail,
2_1,english_term,english,vehicles,boat,bus,tractor,doll,balloon,apple slices,carpentry,computer,beer,
2_1,english_term,english,vehicles,train,car,spaceship,blocks,legos,peanuts,knitting,television,tea,
2_1,chinese_term,english,农产品,pork,corn,potatoes,chips,soda,legos,airplane,knife,chair,
2_1,chinese_term,english,农产品,lamb,onions,eggs,popcorn,dumpling,communication,bus,singing,tree,
2_1,chinese_term,english,化妆品,lipstick,lotion,blush,shampoo,tampon,carrots,tree,chair,ancient city,
2_1,chinese_term,english,化妆品,eyeliner,eye cream,moisturizer,face wash,bubble bath,yogurt,grass,lake,forest,
2_1,chinese_term,english,地形,swamp,mountains,valley,starry sky,waves,marijuana,chair,dress,turtle,
2_1,chinese_term,english,地形,wetland,canyon,ridge,garden,canal,trash can,painting,rabbit,milk,
2_1,chinese_term,english,家具,carpet,sofa,curtains,wall,house,salt,clouds,knife,coat,
2_1,chinese_term,english,家具,overhead light,bed,refrigerator,toilet,bathtub,chicken,tree,reservoir,pencil,
2_1,chinese_term,english,服饰,barrette,coat,pants,nail polish,eyeshadow,yogurt,waterfall,clouds,moon,
2_1,chinese_term,english,服饰,shoes,bracelets,suit,makeup,bodywash,cheese,sculpture,aspirin,bus,
2_1,chinese_term,english,水域,creek,pond,glacier,rain,soda,mountain,chicken,train,knife,
2_1,chinese_term,english,水域,river,reservoir,sea,snow,beer,valley,tomatoes,bus,chair,
2_1,chinese_term,english,生物,cell,plant,animal,rain,hills,cooking,chair,cup,pencil,
2_1,chinese_term,english,生物,human,insect,fungus,cliff,ocean,teamwork,knife,bowl,desk,
2_1,chinese_term,english,电器,cell phone,microwave,TV,sofa,bed,salt,clouds,wine,grass,
2_1,chinese_term,english,电器,computer,air conditioner,table lamp,chair,pillow,chicken,tree,juice,garden,
2_1,chinese_term,english,调味品,cumin,sesame seed,vinegar,yogurt,carrots,moth,television,barbie,hail,
2_1,chinese_term,english,调味品,sesame oil,salt,sugar,milk,apple,motorcycle,stove,stuffed animal,grass,
2_1,chinese_term,english,风景,ancient ruins,beach,sunrise,bamboo,grass,chair,chopsticks,pottery,bulldozer,
2_1,chinese_term,english,风景,waterfall,forest,sunset,panda,tree bark,heroin,cup,murder,knitting,
