order,condition,language,implicit_term,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,question_type
3_2,english_term,chinese,appetizers,肉丸,虾,汤,土豆泥,香蕉,团队合作,芭比,木工,草,
3_2,english_term,chinese,appetizers,奶酪和饼干,沙拉,鸡翅,烤鸭,苹果,沟通,乐高,针织,种子,
3_2,english_term,chinese,beverages,牛奶,苏打水,红酒,芝麻油,酱油,船,月亮,树皮,雾,
3_2,english_term,chinese,beverages,水,茶,啤酒,汽油,植物油,公共汽车,太阳,树叶,细雨,
3_2,english_term,chinese,crafts,木工,针织,绘画,芭蕾舞,诗歌,船,草,月亮,雨,
3_2,english_term,chinese,crafts,雕塑,缝纫,陶瓷,音乐,文学,公共汽车,种子,太阳,雪,
3_2,english_term,chinese,crimes,盗窃,纵火,骚扰,诅咒,说谎,推土机,椅子,薯片,熊,
3_2,english_term,chinese,crimes,谋杀,虐待,贪污,不忠,放屁,自行车,桌子,饼干,蛇,
3_2,english_term,chinese,drugs,阿司匹林,可卡因,大麻,钾,钠,香蕉,木工,杯子,灯,
3_2,english_term,chinese,drugs,海洛因,咖啡因,兴奋剂,维生素,氨,柚子,针织,碗,桌子,
3_2,english_term,chinese,pests,蟑螂,老鼠,浣熊,海豚,蜜蜂,星星,灯,筷子,气泡水,
3_2,english_term,chinese,pests,白蚁,老鼠,跳蚤,蜂鸟,斑马,行星,桌子,火炉,湖,
3_2,english_term,chinese,precipitation,雨,雪,冻雨,乌云,气泡水,筷子,海象,巧克力棒,铅笔,
3_2,english_term,chinese,precipitation,冰雹,雾,细雨,乌云,湖,火炉,鹿,白饭,记事本,
3_2,english_term,chinese,skills,烹饪,电脑编程,团队合作,吃,步行,薯片,红酒,星星,填充玩具动物,
3_2,english_term,chinese,skills,沟通,唱歌,打字,喝,去上学,饼干,水,行星,棒球,
3_2,english_term,chinese,snacks,糖,坚果,水果,白饭,小排骨,海象,铅笔,唱歌,雨,
3_2,english_term,chinese,snacks,香蕉,土豆片,花生,培根,茄子,鹿,记事本,打字,雪,
3_2,english_term,chinese,vehicles,船,公共汽车,拖拉机,玩具娃娃,气球,苹果片,木工,电脑,啤酒,
3_2,english_term,chinese,vehicles,火车,车,飞船,积木,乐高,花生,针织,电视,茶,
3_2,chinese_term,chinese,农产品,小麦,牛奶,牛肉,饼干,冰淇淋,蛇,铅笔,针织,雨,
3_2,chinese_term,chinese,农产品,玉米,蔬菜,牲畜,三明治,比萨饼,鹿,电脑,雕塑,雨夹雪,
3_2,chinese_term,chinese,化妆品,眼影,保湿水,唇膏,香皂,浴盐,云朵,沙漠,绑架,枕头,
3_2,chinese_term,chinese,化妆品,睫毛膏,凡士林,乳液,护发素,镊子,山脉,日落,谋杀,钟,
3_2,chinese_term,chinese,地形,湖泊,盆地,高原,瀑布,星空,芝士,碗,盗窃,帽子,
3_2,chinese_term,chinese,地形,河流,高原,山地,花园,日出,酸奶,兔子,强奸,自行车,
3_2,chinese_term,chinese,家具,地毯,沙发,窗帘,墙,房子,盐,云朵,刀,外套,
3_2,chinese_term,chinese,家具,顶灯,床,冰箱,马桶,浴缸,鸡,树,水库,铅笔,
3_2,chinese_term,chinese,服饰,项链,凉鞋,连衣裙,隐形眼镜,乳液,鸡,刀,草,行星,
3_2,chinese_term,chinese,服饰,发卡,鞋子,半裙,刺青,护发素,番茄,椅子,啤酒,太阳,
3_2,chinese_term,chinese,水域,小溪,池塘,冰川,雨,苏打水,山,鸡,火车,刀,
3_2,chinese_term,chinese,水域,河流,水库,大海,雪,啤酒,山谷,番茄,公共汽车,椅子,
3_2,chinese_term,chinese,生物,动物,昆虫,病毒,矿物质,河流,棒球,船,椅子,收入,
3_2,chinese_term,chinese,生物,植物,真菌,人类,石头,山,电脑编程,摩托车,发夹,麦克风,
3_2,chinese_term,chinese,电器,冰箱,电风扇,手机,毯子,沙发,番茄,海洋,啤酒,山,
3_2,chinese_term,chinese,电器,洗衣机,电脑,台灯,桌子,盥洗盆,盐,瀑布,苏打,雨,
3_2,chinese_term,chinese,调味品,胡椒,糖,酱油,面粉,鸡蛋,海象,记事本,木工,雪,
3_2,chinese_term,chinese,调味品,盐,蚝油,桂皮,鸡,芝士,船,云朵,绘画,椅子,
3_2,chinese_term,chinese,风景,高山,沙漠,星空,岩石,树,酸奶,火炉,迷幻药,卡车,
3_2,chinese_term,chinese,风景,湖,森林,古城,泥土,陆地,芝士,椅子,可卡因,船,
