order,condition,language,implicit_term,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,question_type
1_1,english_term,chinese,appetizers,汤,沙拉,面包棒,牛扒,意大利辣香肠比萨,烹饪,玩具娃娃,缝纫,树皮,
1_1,english_term,chinese,appetizers,炸薯条,洋葱圈,鸡翅,汉堡包,西兰花,电脑编程,积木,陶瓷,树叶,
1_1,english_term,chinese,beverages,红酒,水,果汁,油,醋,摩托车,星星,树,冻雨,
1_1,english_term,chinese,beverages,咖啡,啤酒,茶,酱油,汽油,卡车,行星,花卉,冰雹,
1_1,english_term,chinese,crafts,木工,针织,绘画,芭蕾舞,诗歌,船,草,月亮,雨,
1_1,english_term,chinese,crafts,雕塑,缝纫,陶瓷,音乐,文学,公共汽车,种子,太阳,雪,
1_1,english_term,chinese,crimes,谋杀,抢劫,擅自闯入,说谎,迟到,船,枕头,爆米花,蛾子,
1_1,english_term,chinese,crimes,突击,强奸,超速,虚张声势,随地吐痰,公共汽车,床,萝卜,猴,
1_1,english_term,chinese,drugs,阿司匹林,可卡因,大麻,钾,钠,香蕉,木工,杯子,灯,
1_1,english_term,chinese,drugs,海洛因,咖啡因,兴奋剂,维生素,氨,柚子,针织,碗,桌子,
1_1,english_term,chinese,pests,蚂蚁,老鼠,浣熊,长颈鹿,鸭子,天空,椅子,勺子,海洋,
1_1,english_term,chinese,pests,跳蚤,老鼠,蚊子,蝴蝶,老鹰,云,桌子,刀,河,
1_1,english_term,chinese,precipitation,雨,雪,冻雨,乌云,气泡水,筷子,海象,巧克力棒,铅笔,
1_1,english_term,chinese,precipitation,冰雹,雾,细雨,乌云,湖,火炉,鹿,白饭,记事本,
1_1,english_term,chinese,skills,烹饪,电脑编程,团队合作,吃,步行,薯片,红酒,星星,填充玩具动物,
1_1,english_term,chinese,skills,沟通,唱歌,打字,喝,去上学,饼干,水,行星,棒球,
1_1,english_term,chinese,snacks,薯片,饼干,苹果片,意大利面,沙拉,熊,纸,团队合作,雾,
1_1,english_term,chinese,snacks,花生,爆米花,萝卜,牛排,三文鱼,蛇,钢笔,沟通,细雨,
1_1,english_term,chinese,vehicles,船,公共汽车,拖拉机,玩具娃娃,气球,苹果片,木工,电脑,啤酒,
1_1,english_term,chinese,vehicles,火车,车,飞船,积木,乐高,花生,针织,电视,茶,
1_1,chinese_term,chinese,农产品,小麦,牛奶,牛肉,饼干,冰淇淋,蛇,铅笔,针织,雨,
1_1,chinese_term,chinese,农产品,玉米,蔬菜,牲畜,三明治,比萨饼,鹿,电脑,雕塑,雨夹雪,
1_1,chinese_term,chinese,化妆品,口红,乳液,腮红,洗发水,卫生棉条,萝卜,树,椅子,古城,
1_1,chinese_term,chinese,化妆品,眼线,眼霜,润肤霜,洗面奶,泡泡浴,酸奶,草,湖,森林,
1_1,chinese_term,chinese,地形,湖泊,盆地,高原,瀑布,星空,芝士,碗,盗窃,帽子,
1_1,chinese_term,chinese,地形,河流,高原,山地,花园,日出,酸奶,兔子,强奸,自行车,
1_1,chinese_term,chinese,家具,地毯,沙发,窗帘,墙,房子,盐,云朵,刀,外套,
1_1,chinese_term,chinese,家具,顶灯,床,冰箱,马桶,浴缸,鸡,树,水库,铅笔,
1_1,chinese_term,chinese,服饰,皮包,外套,衬衫,眼线,洗发水,盐,车,汉堡包,柚子,
1_1,chinese_term,chinese,服饰,戒指,帽子,短裤,口红,香皂,树,烤鸭,丘陵,三明治,
1_1,chinese_term,chinese,水域,小溪,池塘,冰川,雨,苏打水,山,鸡,火车,刀,
1_1,chinese_term,chinese,水域,河流,水库,大海,雪,啤酒,山谷,番茄,公共汽车,椅子,
1_1,chinese_term,chinese,生物,动物,昆虫,病毒,矿物质,河流,棒球,船,椅子,收入,
1_1,chinese_term,chinese,生物,植物,真菌,人类,石头,山,电脑编程,摩托车,发夹,麦克风,
1_1,chinese_term,chinese,电器,手机,微波炉,电视,沙发,床,盐,乌云,红酒,草,
1_1,chinese_term,chinese,电器,电脑,空调,台灯,椅子,枕头,鸡,树,果汁,花园,
1_1,chinese_term,chinese,调味品,胡椒,糖,酱油,面粉,鸡蛋,海象,记事本,木工,雪,
1_1,chinese_term,chinese,调味品,盐,蚝油,桂皮,鸡,芝士,船,云朵,绘画,椅子,
1_1,chinese_term,chinese,风景,高山,沙漠,星空,岩石,树,酸奶,火炉,迷幻药,卡车,
1_1,chinese_term,chinese,风景,湖,森林,古城,泥土,陆地,芝士,椅子,可卡因,船,
