order,condition,language,implicit_term,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,question_type
3_3,english_term,chinese,appetizers,炸薯条,虾,面包棒,猪排,生菜,唱歌,填充玩具动物,绘画,树,
3_3,english_term,chinese,appetizers,洋葱圈,奶酪片,汤,白饭,菠萝,打字,棒球,雕塑,花卉,
3_3,english_term,chinese,beverages,红酒,水,果汁,油,醋,摩托车,星星,树,冻雨,
3_3,english_term,chinese,beverages,咖啡,啤酒,茶,酱油,汽油,卡车,行星,花卉,冰雹,
3_3,english_term,chinese,crafts,陶器,画画,缝纫,交谊舞,诗歌,摩托车,树皮,星星,雾,
3_3,english_term,chinese,crafts,针织,雕塑,剪纸,歌剧,剧院,卡车,树叶,行星,细雨,
3_3,english_term,chinese,crimes,强奸,突击,擅自闯入,随地吐痰,刻薄,摩托车,灯,苹果片,海象,
3_3,english_term,chinese,crimes,绑架,纵火,超速,放屁,诅咒,卡车,桌子,花生,鹿,
3_3,english_term,chinese,drugs,可卡因,兴奋剂,阿司匹林,硫酸,小苏打,巧克力棒,缝纫,筷子,椅子,
3_3,english_term,chinese,drugs,大麻,咖啡因,酒精,钠,氮,白饭,陶瓷,火炉,桌子,
3_3,english_term,chinese,pests,鸽子,蟑螂,蚊子,大象,蜻蜓,月亮,枕头,杯子,河,
3_3,english_term,chinese,pests,老鼠,蚂蚁,苍蝇,企鹅,海龟,太阳,床,碗,池塘,
3_3,english_term,chinese,precipitation,冻雨,雪,雾,乌云,海洋,勺子,熊,饼干,纸,
3_3,english_term,chinese,precipitation,雨,冰雹,细雨,乌云,河,刀,蛇,三明治,钢笔,
3_3,english_term,chinese,skills,批判性思考,团队合作,写作,打嗝,笑,爆米花,啤酒,天空,芭比,
3_3,english_term,chinese,skills,驾驶,沟通,计算机编码,坐着,睡眠,萝卜,茶,乌云,乐高,
3_3,english_term,chinese,snacks,饼干,萝卜,坚果,煎鸡蛋,烤牛肉三明治,蛾子,电脑,烹饪,冻雨,
3_3,english_term,chinese,snacks,薯片,苹果,爆米花,猪排,土豆,猴,电视,电脑编程,冰雹,
3_3,english_term,chinese,vehicles,飞机,船,拖拉机,填充玩具动物,玩具娃娃,薯片,缝纫,铅笔,果汁,
3_3,english_term,chinese,vehicles,车,飞船,卡车,棒球,芭比,饼干,陶瓷,记事本,咖啡,
3_3,chinese_term,chinese,农产品,猪肉,玉米,土豆,薯片,苏打水,乐高,飞机,刀,椅子,
3_3,chinese_term,chinese,农产品,羊肉,洋葱,鸡蛋,爆米花,饺子,沟通,公共汽车,唱歌,树,
3_3,chinese_term,chinese,化妆品,唇釉,面膜,眼线,沐浴露,梳子,火炉,星空,麦克风,桌子,
3_3,chinese_term,chinese,化妆品,遮瑕,唇膏,眼霜,剃须膏,发夹,湿地,香蕉,土壤,海洋,
3_3,chinese_term,chinese,地形,沼泽,山地,山谷,星空,波浪,大麻,椅子,裙子,龟,
3_3,chinese_term,chinese,地形,湿地,峡谷,山脊,花园,运河,垃圾箱,绘画,兔子,牛奶,
3_3,chinese_term,chinese,家具,锅,床,顶灯,电脑,书,芝士,雪,猪排,行星,
3_3,chinese_term,chinese,家具,钟表,地毯,书桌,打印机,门,树,瀑布,平原,白饭,
3_3,chinese_term,chinese,服饰,发夹,外套,裤子,指甲油,眼影,酸奶,瀑布,云朵,月亮,
3_3,chinese_term,chinese,服饰,鞋子,手镯,西装,化妆品,沐浴露,芝士,雕塑,阿司匹林,公共汽车,
3_3,chinese_term,chinese,水域,运河,池塘,冰川,冰,牛奶,高原,鸡,饼干,麦克风,
3_3,chinese_term,chinese,水域,河流,湖泊,海洋,乌云,咖啡,山丘,星星,打印机,手镯,
3_3,chinese_term,chinese,生物,细菌,植物,动物,雨,山丘,烹饪,椅子,杯子,铅笔,
3_3,chinese_term,chinese,生物,人类,昆虫,真菌,悬崖,海洋,团队合作,刀,碗,桌子,
3_3,chinese_term,chinese,电器,手机,灯,热水壶,被子,桌子,番茄,草,咖啡,波浪,
3_3,chinese_term,chinese,电器,加湿器,电视,电脑,马桶,抽屉,起司,云朵,茶,日出,
3_3,chinese_term,chinese,调味品,孜然,芝麻,醋,酸奶,胡萝卜,蛾子,电视,芭比,冰雹,
3_3,chinese_term,chinese,调味品,香油,盐,糖,牛奶,苹果,摩托车,火炉,填充玩具动物,草,
3_3,chinese_term,chinese,风景,古遗址,沙滩,日落,竹子,草地,椅子,筷子,陶器,推土机,
3_3,chinese_term,chinese,风景,瀑布,森林,日出,熊猫,树皮,海洛因,杯子,谋杀,针织,
