order,condition,language,implicit_term,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,question_type
1_3,english_term,english,appetizers,french fries,shrimp,breadsticks,pork chop,lettuce,singing,stuffed animal,painting,tree,
1_3,english_term,english,appetizers,onion rings,cheese and crackers,soup,rice,pineapple,typing,baseball,sculpture,flowers,
1_3,english_term,english,beverages,wine,coffee,juice,vinegar,sesame oil,bulldozer,sky,grass,rain,
1_3,english_term,english,beverages,beer,milk,soda,oil,soy sauce,bicycle,clouds,seeds,snow,
1_3,english_term,english,crafts,pottery,drawing,sewing,ballroom dance,poetry,motorcycle,bark,star,fog,
1_3,english_term,english,crafts,knitting,sculpture,paper making,opera,theater,truck,leaves,planet,drizzle,
1_3,english_term,english,crimes,rape,assault,trespassing,spitting,being mean,motorcycle,lamp,apple slices,walrus,
1_3,english_term,english,crimes,kidnapping,arson,speeding,farting,cursing,truck,table,peanuts,deer,
1_3,english_term,english,drugs,cocaine,methamphetamine,aspirin,sulfuric acid,baking soda,chocolate bar,sewing,chopsticks,chair,
1_3,english_term,english,drugs,marijuana,caffeine,alcohol,sodium,nitrogen,rice,ceramics,stove,desk,
1_3,english_term,english,pests,pidgeons,cockroaches,mosquitos,elephants,dragonflies,moon,pillow,cup,river,
1_3,english_term,english,pests,rats,ants,flies,penguins,turtles,sun,bed,bowl,pond,
1_3,english_term,english,precipitation,sleet,snow,fog,clouds,ocean,spoon,bear,biscuit,paper,
1_3,english_term,english,precipitation,rain,hail,drizzle,clouds,river,knife,snake,sandwich,pen,
1_3,english_term,english,skills,critical thinking,teamwork,writing,burping,laughing,popcorn,beer,sky,barbie,
1_3,english_term,english,skills,driving,communication,computer coding,sitting,sleeping,carrots,tea,clouds,legos,
1_3,english_term,english,snacks,cookies,carrots,nuts,fried eggs,roast beef sandwich,moth,computer,cooking,sleet,
1_3,english_term,english,snacks,chips,apple,popcorn,pork chop,potatoes,monkey,television,computer programming,hail,
1_3,english_term,english,vehicles,airplane,boat,tractor,stuffed animal,doll,chips,sewing,pencil,juice,
1_3,english_term,english,vehicles,car,spaceship,truck,baseball,barbie,cookies,ceramics,notepad,coffee,
1_3,chinese_term,english,农产品,pork,corn,potatoes,chips,soda,legos,airplane,knife,chair,
1_3,chinese_term,english,农产品,lamb,onions,eggs,popcorn,dumpling,communication,bus,singing,tree,
1_3,chinese_term,english,化妆品,lip gloss,facial mask,eyeliner,body wash,hair brush,stove,starry sky,microphone,desk,
1_3,chinese_term,english,化妆品,concealer,lip balm,eye cream,shaving cream,barrette,wetland,banana,soil,ocean,
1_3,chinese_term,english,地形,swamp,mountains,valley,starry sky,waves,marijuana,chair,dress,turtle,
1_3,chinese_term,english,地形,wetland,canyon,ridge,garden,canal,trash can,painting,rabbit,milk,
1_3,chinese_term,english,家具,cooking pot,bed,overhead light,computer,book,cheese,snow,pork chop,planet,
1_3,chinese_term,english,家具,clock,rug,desk,printer,door,tree,waterfall,plains,rice,
1_3,chinese_term,english,服饰,barrette,coat,pants,nail polish,eyeshadow,yogurt,waterfall,clouds,moon,
1_3,chinese_term,english,服饰,shoes,bracelets,suit,makeup,bodywash,cheese,sculpture,aspirin,bus,
1_3,chinese_term,english,水域,canal,pond,glacier,ice,milk,plateau,chicken,biscuit,microphone,
1_3,chinese_term,english,水域,river,lake,ocean,thunderclouds,coffee,hills,star,printer,bracelet,
1_3,chinese_term,english,生物,cell,plant,animal,rain,hills,cooking,chair,cup,pencil,
1_3,chinese_term,english,生物,human,insect,fungus,cliff,ocean,teamwork,knife,bowl,desk,
1_3,chinese_term,english,电器,cell phone,lights,water kettle,quilt,desk,tomatoes,grass,coffee,waves,
1_3,chinese_term,english,电器,humidifier,TV,computer,toilet,drawer,cheese,clouds,tea,sunrise,
1_3,chinese_term,english,调味品,cumin,sesame seed,vinegar,yogurt,carrots,moth,television,barbie,hail,
1_3,chinese_term,english,调味品,sesame oil,salt,sugar,milk,apple,motorcycle,stove,stuffed animal,grass,
1_3,chinese_term,english,风景,ancient ruins,beach,sunrise,bamboo,grass,chair,chopsticks,pottery,bulldozer,
1_3,chinese_term,english,风景,waterfall,forest,sunset,panda,tree bark,heroin,cup,murder,knitting,
