image1,image2,question_type,target_object,question,choice_1,choice_2,choice_3,choice_4,choice_5
handshape_b.jpg,ID_01.jpg,rating,wash cloth,How well does the shape of the hand match the shape of the wash cloth?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_02.jpg,rating,toothbrush,How well does the shape of the hand match the shape of the toothbrush?,1 - not well at all,2,3,4,5 - very well
handshape_claw.jpg,ID_03.jpg,rating,comb,How well does the shape of the hand match the shape of the comb?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_04_1.jpg,rating,spoon,How well does the shape of the hand match the shape of the spoon?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_04_2.jpg,rating,saucepan,How well does the shape of the hand match the shape of the saucepan?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_05.jpg,rating,toothbrush,How well does the shape of the hand match the shape of the toothbrush?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_06.jpg,rating,paintbrush,How well does the shape of the hand match the shape of the paintbrush?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_07.jpg,rating,pencil,How well does the shape of the hand match the shape of the pencil?,1 - not well at all,2,3,4,5 - very well
handshape_s.jpg,ID_08.jpg,rating,croquet mallet,How well does the shape of the hand match the shape of the croquet mallet?,1 - not well at all,2,3,4,5 - very well
handshape_curved_b.jpg,ID_09.jpg,rating,shovel,How well does the shape of the hand match the shape of the shovel?,1 - not well at all,2,3,4,5 - very well
handshape_s.jpg,ID_10.jpg,rating,hammer,How well does the shape of the hand match the shape of the hammer?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_11.jpg,rating,saw,How well does the shape of the hand match the shape of the saw?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_12.jpg,rating,plane,How well does the shape of the hand match the shape of the plane?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_13.jpg,rating,hacksaw,How well does the shape of the hand match the shape of the hacksaw?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_14.jpg,rating,drill,How well does the shape of the hand match the shape of the drill?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_15.jpg,rating,bucksaw,How well does the shape of the hand match the shape of the bucksaw?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_16.jpg,rating,trowel,How well does the shape of the hand match the shape of the trowel?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_17.jpg,rating,paintbrush,How well does the shape of the hand match the shape of the paintbrush?,1 - not well at all,2,3,4,5 - very well
handshape_curved_b.jpg,ID_18.jpg,rating,shovel,How well does the shape of the hand match the shape of the shovel?,1 - not well at all,2,3,4,5 - very well
handshape_y.jpg,ID_188.jpg,rating,watering can,How well does the shape of the hand match the shape of the watering can?,1 - not well at all,2,3,4,5 - very well
handshape_u_thumb.jpg,ID_19.jpg,rating,clothespin,How well does the shape of the hand match the shape of the clothespin?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_20.jpg,rating,knife,How well does the shape of the hand match the shape of the knife?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_21.jpg,rating,knife,How well does the shape of the hand match the shape of the knife?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_216.jpg,rating,fishing pole,How well does the shape of the hand match the shape of the fishing pole?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_22.jpg,rating,paddle,How well does the shape of the hand match the shape of the paddle?,1 - not well at all,2,3,4,5 - very well
handshape_ll.jpg,ID_229.jpg,rating,lawnmower,How well does the shape of the hand match the shape of the lawnmower?,1 - not well at all,2,3,4,5 - very well
handshape_s.jpg,ID_23.jpg,rating,stethoscope,How well does the shape of the hand match the shape of the stethoscope?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_24.jpg,rating,toothbrush,How well does the shape of the hand match the shape of the toothbrush?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_25.jpg,rating,magnifying glass,How well does the shape of the hand match the shape of the magnifying glass?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_26.jpg,rating,paintbrush,How well does the shape of the hand match the shape of the paintbrush?,1 - not well at all,2,3,4,5 - very well
handshape_u.jpg,ID_27.jpg,rating,spoon,How well does the shape of the hand match the shape of the spoon?,1 - not well at all,2,3,4,5 - very well
handshape_s.jpg,ID_28.jpg,rating,mallet,How well does the shape of the hand match the shape of the mallet?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_29.jpg,rating,drumstick,How well does the shape of the hand match the shape of the drumstick?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_30.jpg,rating,chalk,How well does the shape of the hand match the shape of the chalk?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_31.jpg,rating,pencil,How well does the shape of the hand match the shape of the pencil?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_32.jpg,rating,pencil,How well does the shape of the hand match the shape of the pencil?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_33.jpg,rating,pencil,How well does the shape of the hand match the shape of the pencil?,1 - not well at all,2,3,4,5 - very well
handshape_v.jpg,ID_34.jpg,rating,scissors,How well does the shape of the hand match the shape of the scissors?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_35.jpg,rating,beater,How well does the shape of the hand match the shape of the beater?,1 - not well at all,2,3,4,5 - very well
handshape_s.jpg,ID_36.jpg,rating,rolling pin,How well does the shape of the hand match the shape of the rolling pin?,1 - not well at all,2,3,4,5 - very well
handshape_u.jpg,ID_37.jpg,rating,spoon,How well does the shape of the hand match the shape of the spoon?,1 - not well at all,2,3,4,5 - very well
handshape_s.jpg,ID_38.jpg,rating,hammer,How well does the shape of the hand match the shape of the hammer?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_39.jpg,rating,paintbrush,How well does the shape of the hand match the shape of the paintbrush?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_40.jpg,rating,screwdriver,How well does the shape of the hand match the shape of the screwdriver?,1 - not well at all,2,3,4,5 - very well
handshape_curved_b.jpg,ID_41.jpg,rating,shovel,How well does the shape of the hand match the shape of the shovel?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_42.jpg,rating,pencil,How well does the shape of the hand match the shape of the pencil?,1 - not well at all,2,3,4,5 - very well
handshape_c.jpg,ID_43.jpg,rating,glass,How well does the shape of the hand match the shape of the glass?,1 - not well at all,2,3,4,5 - very well
handshape_c.jpg,ID_44.jpg,rating,hose,How well does the shape of the hand match the shape of the hose?,1 - not well at all,2,3,4,5 - very well
handshape_curved_b.jpg,ID_45.jpg,rating,shovel,How well does the shape of the hand match the shape of the shovel?,1 - not well at all,2,3,4,5 - very well
handshape_claw.jpg,ID_46.jpg,rating,rake,How well does the shape of the hand match the shape of the rake?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_47.jpg,rating,hoe,How well does the shape of the hand match the shape of the hoe?,1 - not well at all,2,3,4,5 - very well
handshape_c.jpg,ID_48.jpg,rating,hose,How well does the shape of the hand match the shape of the hose?,1 - not well at all,2,3,4,5 - very well
