word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
adjustable	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
arsenic	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
beside	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
broccoli	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
champagne	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
comma	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
craze	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
deny	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
drag	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
estimate	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
find	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fruitful	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
guardian	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hooker	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
intensive	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
leap	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
mango	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
mold	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
nutty	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
passable	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pointer	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
puke	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
release	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
saintly	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
shave	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
snore	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
steal	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
swipe	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
tip	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
understood	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
washboard	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
abate	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
associate	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bungle	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
computer	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
deformed	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
doggy	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
expressly	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
glassy	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
imagination	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
insinuate	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
leprosy	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
moralist	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
passionate	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
proctology	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
restructure	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sickening	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
superlative	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
tyrannous	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
veto	Is the word 	...	iconicity	105	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
Please choose the right-most option			catch	7	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
Please choose the middle option			catch	4	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
The word red has two letters			catch	1	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
