word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
announce	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
base	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
borrow	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
careless	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
closed	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cord	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dear	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dispute	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
emerge	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fateful	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
forgiving	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
graceful	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
helpful	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
inconspicuous	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
kneecap	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
lounge	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
mighty	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
negotiate	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
overshadow	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pink	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
probable	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
reborn	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
roar	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
seeming	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
slant	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
spouse	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
suffocate	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
thermometer	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
truffle	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
vinyl	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
woof	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
anew	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bleeder	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
clatter	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cuckold	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
discrete	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
equity	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
functionalism	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hey	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
indolence	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
kale	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
merengue	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ordain	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pomade	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
redeemable	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
secularity	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
stank	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
totter	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
unrelenting	Is the word 	...	iconicity	307	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
Please choose the right-most option			catch	7	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
Please choose the middle option			catch	4	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
The word red has two letters			catch	1	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
Squares have four sides			catch	7	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
